iter	Passed	Remaining
221	15191	53239
222	15253	53147
223	15317	53062
224	15379	52974
225	15438	52873
226	15494	52761
227	15553	52662
228	15622	52599
229	15694	52541
230	15767	52490
231	15833	52412
232	15895	52325
233	15954	52225
234	16018	52145
235	16079	52053
236	16136	51950
237	16194	51850
238	16256	51763
239	16317	51673
240	16378	51581
241	16434	51477
242	16495	51388
243	16555	51293
244	16614	51198
245	16675	51110
246	16739	51031
247	16800	50944
248	16866	50869
249	16927	50783
250	16993	50708
251	17052	50617
252	17111	50522
253	17173	50439
254	17234	50350
255	17291	50254
256	17347	50153
257	17406	50061
258	17469	49979
259	17529	49891
260	17589	49803
261	17649	49713
262	17707	49620
263	17766	49531
264	17828	49449
265	17888	49361
266	17949	49278
267	18005	49180
268	18064	49089
269	18122	48998
270	18183	48914
271	18242	48825
272	18298	48727
273	18368	48670
274	18435	48603
275	18491	48507
276	18548	48414
277	18607	48327
278	18670	48248
279	18729	48161
280	18786	48070
281	18850	47996
282	18949	48009
283	19036	47994
284	19106	47933
285	19187	47901
286	19284	47909
287	19356	47854
288	19432	47808
289	19554	47875
290	19685	47963
291	19752	47893
292	19816	47817
293	19877	47733
294	19941	47656
295	20004	47577
296	20065	47495
297	20131	47423
298	20196	47349
299	20258	47269
300	20323	47196
301	20381	47106
302	20446	47033
303	20504	46945
304	20564	46859
305	20629	46786
306	20698	46722
307	20758	46639
308	20818	46556
309	20876	46467
310	20938	46388
311	20997	46301
312	21054	46212
313	21113	46126
314	21174	46046
315	21232	45958
316	21290	45871
317	21350	45789
318	21416	45719
319	21474	45633
320	21535	45554
321	21597	45476
322	21662	45403
323	21718	45314
324	21780	45236
325	21850	45174
326	21916	45106
327	21978	45029
328	22036	44943
329	22097	44865
330	22159	44788
331	22217	44702
332	22279	44626
333	22341	44548
334	22445	44555
335	22524	44513
336	22593	44449
337	22661	44383
338	22732	44325
339	22826	44311
340	22931	44315
341	23065	44378
342	23150	44343
343	23232	44303
344	23296	44229
345	23369	44173
346	23454	44138
347	23579	44176
348	23659	44132
349	23761	44128
350	23875	44145
351	23988	44160
352	24125	44219
353	24228	44214
354	24322	44192
355	24413	44163
356	24501	44130
357	24582	44084
358	24668	44046
359	24760	44018
360	24835	43961
361	24944	43963
362	25053	43963
363	25139	43924
364	25275	43972
365	25348	43910
366	25417	43840
367	25476	43753
368	25544	43681
369	25617	43619
370	25789	43724
371	25885	43698
372	25968	43651
373	26077	43648
374	26165	43608
375	26268	43593
376	26348	43540
377	26413	43462
378	26478	43385
379	26554	43325
380	26627	43260
381	26696	43189
382	26808	43187
383	26899	43151
384	26983	43102
385	27062	43047
386	27148	43003
387	27236	42960
388	27350	42958
389	27456	42944
390	27537	42890
391	27656	42895
392	27741	42847
393	27834	42810
394	27927	42774
395	27990	42691
396	28056	42614
397	28125	42541
398	28189	42460
399	28247	42371
400	28307	42284
401	28389	42231
402	28469	42174
403	28532	42092
404	28607	42028
405	28675	41953
406	28738	41872
407	28806	41798
408	28886	41740
409	28970	41689
410	29033	41608
411	29095	41525
412	29156	41439
413	29216	41354
414	29281	41276
415	29352	41206
416	29416	41126
417	29488	41058
418	29562	40992
419	29637	40928
420	29714	40866
421	29851	40886
422	29977	40891
423	30093	40882
424	30166	40813
425	30242	40749
426	30309	40673
427	30385	40608
428	30470	40556
429	30553	40500
430	30630	40437
431	30704	40370
432	30765	40285
433	30826	40202
434	30887	40117
435	30945	40030
436	31013	39955
437	31074	39871
438	31132	39783
439	31190	39697
440	31262	39627
441	31329	39551
442	31396	39476
443	31459	39395
444	31523	39315
445	31583	39231
446	31644	39148
447	31706	39066
448	31785	39006
449	31858	38938
450	31920	38856
451	31980	38772
452	32042	38691
453	32098	38602
454	32162	38523
455	32221	38439
456	32288	38364
457	32346	38279
458	32403	38192
459	32462	38108
460	32529	38033
461	32591	37953
462	32649	37868
463	32711	37787
464	32775	37709
465	32838	37630
466	32898	37547
467	32957	37464
468	33015	37380
469	33076	37298
470	33133	37213
471	33195	37133
472	33257	37054
473	33315	36970
474	33377	36891
475	33455	36829
476	33525	36758
477	33588	36680
478	33652	36603
479	33718	36528
480	33786	36455
481	33862	36391
482	33935	36324
483	34053	36305
484	34137	36249
485	34212	36183
486	34297	36128
487	34356	36046
488	34443	35992
489	34511	35920
490	34573	35840
491	34634	35760
492	34692	35677
493	34754	35598
494	34813	35516
495	34872	35435
496	34931	35353
497	34994	35275
498	35054	35195
499	35119	35119
500	35175	35035
501	35238	34957
502	35296	34875
503	35356	34794
504	35414	34713
505	35477	34636
506	35535	34554
507	35592	34471
508	35649	34388
509	35723	34322
510	35784	34243
511	35843	34162
512	35903	34083
513	35969	34010
514	36028	33929
515	36086	33848
516	36147	33770
517	36210	33694
518	36269	33614
519	36343	33547
520	36445	33507
521	36521	33443
522	36579	33362
523	36641	33285
524	36748	33248
525	36821	33181
526	36886	33107
527	36945	33027
528	37033	32973
529	37115	32913
530	37200	32857
531	37285	32799
532	37352	32727
533	37425	32659
534	37486	32581
535	37566	32519
536	37643	32456
537	37722	32394
538	37796	32326
539	37871	32260
540	37932	32183
541	38027	32134
542	38153	32110
543	38228	32044
544	38320	31992
545	38394	31924
546	38454	31846
547	38520	31772
548	38592	31703
549	38671	31640
550	38740	31568
551	38801	31491
552	38865	31415
553	38929	31340
554	38986	31259
555	39046	31181
556	39112	31107
557	39177	31032
558	39237	30954
559	39307	30884
560	39370	30808
561	39446	30742
562	39523	30678
563	39657	30657
564	39783	30629
565	39866	30568
566	40053	30587
567	40209	30581
568	40275	30507
569	40348	30438
570	40412	30362
571	40480	30289
572	40542	30212
573	40640	30161
574	40757	30125
575	40868	30083
576	40942	30014
577	41026	29953
578	41103	29887
579	41195	29831
580	41290	29777
581	41385	29723
582	41496	29680
583	41584	29621
584	41688	29574
585	41756	29500
586	41827	29429
587	41936	29383
588	42035	29331
589	42132	29278
590	42218	29217
591	42297	29150
592	42368	29079
593	42458	29020
594	42559	28969
595	42651	28911
596	42754	28860
597	42835	28795
598	42909	28725
599	43007	28671
600	43101	28614
601	43170	28541
602	43262	28482
603	43338	28414
604	43408	28341
605	43475	28266
606	43544	28192
607	43623	28125
608	43740	28082
609	43819	28015
610	43883	27939
611	43974	27879
612	44050	27810
613	44114	27733
614	44174	27653
615	44243	27580
616	44304	27501
617	44363	27421
618	44422	27342
619	44486	27265
620	44545	27186
621	44602	27105
622	44662	27026
623	44741	26959
624	44811	26887
625	44933	26845
626	45056	26803
627	45147	26743
628	45224	26674
629	45291	26599
630	45365	26529
631	45459	26470
632	45582	26427
633	45681	26371
634	45819	26337
635	45951	26299
636	46133	26289
637	46255	26245
638	46340	26179
639	46437	26120
640	46526	26058
641	46606	25989
642	46688	25921
643	46814	25878
644	46961	25847
645	47099	25810
646	47249	25778
647	47402	25749
648	47520	25700
649	47658	25662
650	47776	25612
651	47876	25553
652	47964	25487
653	48029	25409
654	48100	25335
655	48162	25255
656	48234	25181
657	48320	25115
658	48383	25036
659	48445	24956
660	48506	24876
661	48569	24798
662	48630	24718
663	48690	24638
664	48751	24559
665	48816	24481
666	48877	24402
667	48943	24325
668	49012	24249
669	49078	24173
670	49136	24092
671	49203	24016
672	49276	23942
673	49372	23880
674	49466	23817
675	49556	23751
676	49680	23703
677	49750	23627
678	49816	23550
679	49883	23474
680	49953	23399
681	50015	23321
682	50100	23253
683	50200	23192
684	50278	23120
685	50348	23045
686	50411	22967
687	50486	22895
688	50587	22834
689	50679	22769
690	50748	22693
691	50810	22614
692	50910	22553
693	51071	22518
694	51136	22441
695	51200	22363
696	51263	22285
697	51329	22208
698	51399	22133
699	51495	22069
700	51587	22003
701	51709	21950
702	51776	21874
703	51863	21806
704	51971	21746
705	52096	21694
706	52176	21623
707	52263	21554
708	52379	21498
709	52460	21427
710	52532	21353
711	52612	21281
712	52699	21212
713	52783	21142
714	52858	21069
715	52927	20993
716	53022	20927
717	53127	20866
718	53219	20799
719	53278	20719
720	53339	20640
721	53406	20563
722	53471	20486
723	53566	20420
724	53672	20358
725	53802	20305
726	53884	20234
727	54001	20176
728	54142	20127
729	54216	20052
730	54289	19977
731	54385	19911
732	54525	19861
733	54651	19805
734	54739	19736
735	54815	19661
736	54908	19594
737	55017	19531
738	55135	19472
739	55230	19405
740	55300	19328
741	55379	19256
742	55461	19183
743	55562	19118
744	55656	19050
745	55726	18973
746	55792	18896
747	55922	18840
748	56024	18774
749	56099	18699
750	56170	18623
751	56235	18545
752	56297	18466
753	56395	18399
754	56493	18332
755	56577	18260
756	56662	18188
757	56724	18110
758	56790	18032
759	56850	17952
760	56917	17875
761	56977	17796
762	57038	17717
763	57097	17637
764	57156	17557
765	57215	17478
766	57278	17400
767	57338	17320
768	57403	17243
769	57465	17164
770	57523	17085
771	57582	17006
772	57651	16929
773	57715	16852
774	57774	16773
775	57835	16694
776	57899	16617
777	57959	16538
778	58019	16459
779	58076	16380
780	58138	16302
781	58201	16225
782	58258	16145
783	58326	16069
784	58385	15990
785	58442	15911
786	58503	15833
787	58564	15755
788	58630	15679
789	58691	15601
790	58750	15523
791	58812	15445
792	58875	15368
793	58934	15290
794	58994	15212
795	59052	15133
796	59117	15057
797	59175	14979
798	59233	14901
799	59291	14822
800	59357	14746
801	59417	14669
802	59477	14591
803	59534	14513
804	59599	14437
805	59664	14360
806	59756	14291
807	59855	14222
808	59931	14149
809	60009	14076
810	60121	14011
811	60229	13944
812	60327	13876
813	60394	13800
814	60476	13727
815	60569	13657
816	60654	13585
817	60724	13510
818	60788	13434
819	60857	13359
820	60949	13288
821	61038	13217
822	61117	13144
823	61185	13068
824	61252	12992
825	61322	12917
826	61381	12840
827	61443	12763
828	61517	12689
829	61578	12612
830	61642	12536
831	61713	12461
832	61774	12384
833	61837	12308
834	61905	12232
835	61976	12157
836	62037	12081
837	62097	12004
838	62153	11927
839	62212	11850
840	62272	11773
841	62335	11697
842	62400	11621
843	62470	11546
844	62535	11471
845	62594	11394
846	62656	11318
847	62724	11243
848	62787	11167
849	62856	11092
850	62953	11022
851	63042	10951
852	63143	10881
853	63218	10807
854	63288	10733
855	63349	10656
856	63418	10582
857	63488	10507
858	63560	10433
859	63620	10356
860	63685	10281
861	63747	10205
862	63805	10129
863	63867	10053
864	63933	9978
865	64004	9903
866	64066	9827
867	64126	9751
868	64189	9676
869	64262	9602
870	64373	9534
871	64465	9462
872	64543	9389
873	64614	9315
874	64695	9242
875	64791	9171
876	64867	9097
877	64952	9025
878	65034	8952
879	65099	8877
880	65191	8805
881	65265	8731
882	65334	8657
883	65411	8583
884	65485	8509
885	65558	8435
886	65654	8364
887	65761	8294
888	65884	8226
889	65980	8154
890	66113	8087
891	66214	8016
892	66275	7941
893	66348	7866
894	66427	7793
895	66511	7720
896	66615	7649
897	66714	7577
898	66801	7504
899	66887	7431
900	66955	7356
901	67013	7280
902	67089	7206
903	67188	7135
904	67258	7060
905	67387	6991
906	67473	6918
907	67537	6843
908	67597	6767
909	67659	6691
910	67723	6616
911	67783	6540
912	67844	6464
913	67902	6389
914	67998	6316
915	68071	6242
916	68144	6167
917	68202	6092
918	68263	6016
919	68327	5941
920	68387	5866
921	68445	5790
922	68503	5714
923	68565	5639
924	68624	5564
925	68680	5488
926	68738	5413
927	68799	5337
928	68861	5262
929	68922	5187
930	68987	5112
931	69081	5040
932	69158	4966
933	69233	4892
934	69297	4817
935	69391	4744
936	69461	4670
937	69541	4596
938	69606	4521
939	69665	4446
940	69722	4371
941	69787	4296
942	69847	4221
943	69906	4146
944	69965	4072
945	70024	3997
946	70084	3922
947	70141	3847
948	70199	3772
949	70260	3697
950	70315	3623
951	70380	3548
952	70444	3474
953	70515	3400
954	70585	3326
955	70674	3252
956	70749	3178
957	70848	3106
958	70932	3032
959	71021	2959
960	71102	2885
961	71177	2811
962	71274	2738
963	71380	2665
964	71538	2594
965	71623	2520
966	71710	2447
967	71812	2373
968	71891	2299
969	71964	2225
970	72036	2151
971	72100	2076
972	72195	2003
973	72264	1929
974	72340	1854
975	72415	1780
976	72564	1708
977	72673	1634
978	72757	1560
979	72841	1486
980	72943	1412
981	73035	1338
982	73141	1264
983	73239	1190
984	73306	1116
985	73412	1042
986	73520	968
987	73623	894
988	73750	820
989	73854	746
990	73951	671
991	74019	596
992	74096	522
993	74191	447
994	74255	373
995	74350	298
996	74449	224
997	74560	149
998	74656	74
999	74742	0
