iter	RMSE
0	0.4411608346
1	0.4337117234
2	0.4269525157
3	0.4205457183
4	0.414257157
5	0.4076773567
6	0.4017214154
7	0.3965844394
8	0.3917450917
9	0.386568378
10	0.3811354708
11	0.3761045764
12	0.3714430928
13	0.3671621778
14	0.3628744644
15	0.359012707
16	0.3545893099
17	0.350655346
18	0.3467239453
19	0.3433107541
20	0.3397822658
21	0.3364223349
22	0.3331156016
23	0.3300586317
24	0.3267861553
25	0.3236030469
26	0.3207340265
27	0.3176994791
28	0.3149854043
29	0.3124660146
30	0.3100906667
31	0.3077758731
32	0.3056724239
33	0.3035986713
34	0.3012965765
35	0.299407519
36	0.2974163081
37	0.2954231389
38	0.2929811747
39	0.291289579
40	0.2890492072
41	0.2874135006
42	0.2855863377
43	0.2840163643
44	0.2822274874
45	0.2804796049
46	0.2786360273
47	0.2769368295
48	0.2756295131
49	0.2742250571
50	0.2728925399
51	0.2714129807
52	0.2696038295
53	0.2681726073
54	0.2672135671
55	0.2662314928
56	0.2650776864
57	0.2639745949
58	0.2626672969
59	0.2614675262
60	0.260210046
61	0.25890919
62	0.2578899756
63	0.2568446986
64	0.2558373267
65	0.2546126372
66	0.2532979815
67	0.2518440509
68	0.2510165224
69	0.2499153992
70	0.2488956159
71	0.2478381191
72	0.2469393354
73	0.2458495709
74	0.2447952821
75	0.2436870551
76	0.2429085046
77	0.2416052746
78	0.240832724
79	0.2403941215
80	0.2395253015
81	0.238543367
82	0.2374048302
83	0.2367247739
84	0.2359148174
85	0.2351242548
86	0.2340610635
87	0.2330369197
88	0.2326970373
89	0.231950963
90	0.2311957382
91	0.2304139144
92	0.2296604537
93	0.2291608699
94	0.2283689395
95	0.227603366
96	0.2269633569
97	0.2264741896
98	0.2254714489
99	0.225009666
100	0.2241563834
101	0.2236895661
102	0.223122683
103	0.2226525862
104	0.2219295628
105	0.2215442112
106	0.2208364451
107	0.2202237892
108	0.2195480325
109	0.2188316317
110	0.2182474088
111	0.2173894083
112	0.2167473212
113	0.216105006
114	0.2154966861
115	0.214987775
116	0.2143786576
117	0.213717491
118	0.2130085327
119	0.2125894009
120	0.2122168033
121	0.211665828
122	0.211251151
123	0.2107648522
124	0.2103496344
125	0.2101563321
126	0.2096182306
127	0.2088997435
128	0.2082139642
129	0.2075587593
130	0.2072581903
131	0.2069590366
132	0.206543197
133	0.2060083706
134	0.2052679527
135	0.2047021955
136	0.2038213022
137	0.2032604555
138	0.2023917348
139	0.2018182598
140	0.2011490232
141	0.2004967134
142	0.199856773
143	0.1995723396
144	0.1989658396
145	0.1986959533
146	0.1983650489
147	0.1978123371
148	0.1971456509
149	0.1966516613
150	0.1963296758
151	0.1955736726
152	0.1952137703
153	0.1946789104
154	0.1941862322
155	0.1935859542
156	0.1930777573
157	0.1924616242
158	0.192091195
159	0.1918319876
160	0.1912757682
161	0.1906909957
162	0.1902510424
163	0.1897837151
164	0.1893976658
165	0.1887254984
166	0.1879631008
167	0.1873899038
168	0.1867082464
169	0.1863471026
170	0.185718008
171	0.1853092465
172	0.1848795267
173	0.1843015237
174	0.1836422252
175	0.1832306947
176	0.1823991942
177	0.1818556063
178	0.1813249651
179	0.1809455697
180	0.1807048479
181	0.1802266509
182	0.1798736928
183	0.179139431
184	0.1785171408
185	0.1781188334
186	0.1779202292
187	0.1773194536
188	0.1765515404
189	0.1762035766
190	0.1758395825
191	0.1751485909
192	0.1745981703
193	0.1740832762
194	0.1736663057
195	0.1730656153
196	0.1724181471
197	0.171701822
198	0.1708991447
199	0.1705471923
200	0.1701276572
201	0.1695618245
202	0.1691533473
203	0.1689141281
204	0.1682360724
205	0.1673175794
206	0.1667584978
207	0.1662919836
208	0.1659020924
209	0.1652052891
210	0.1648024751
211	0.1645152306
212	0.1639279951
213	0.1633100929
214	0.1627790625
215	0.1624117464
216	0.1616374474
217	0.1611327052
218	0.1602507646
219	0.1594526347
220	0.1586206929
221	0.1581124231
222	0.1577309449
223	0.1572181178
224	0.1567217234
225	0.1562160593
226	0.1557251047
227	0.15506797
228	0.1546250985
229	0.1540014377
230	0.1536814804
231	0.1533980331
232	0.152806418
233	0.1522054129
234	0.1515351578
235	0.150968095
236	0.1504626136
237	0.150276214
238	0.1500163039
239	0.1496986293
240	0.1491754929
241	0.1488181068
242	0.1481857486
243	0.1479400086
244	0.1475763196
245	0.1470316679
246	0.1461824865
247	0.1454143751
248	0.1451072835
249	0.1446830113
250	0.1443184127
251	0.1437184671
252	0.1431451216
253	0.1425564005
254	0.1420741287
255	0.1413441938
256	0.1409040973
257	0.1403784998
258	0.139718763
259	0.1390337655
260	0.1383453445
261	0.137731829
262	0.1373719696
263	0.1369435958
264	0.1363629546
265	0.1357578676
266	0.1351430552
267	0.1349428751
268	0.1343772602
269	0.1337526667
270	0.1333173576
271	0.1326088887
272	0.1321626035
273	0.1317431196
274	0.1314496791
275	0.1309830189
276	0.1306713306
277	0.1304428024
278	0.1299879452
279	0.1293686894
280	0.1288041241
281	0.1283969332
282	0.127780432
283	0.1271262684
284	0.1265371368
285	0.1259582401
286	0.1256443428
287	0.1253475921
288	0.1249536948
289	0.1245960417
290	0.1243757243
291	0.124019241
292	0.1233351693
293	0.1226833478
294	0.1220699131
295	0.1216643477
296	0.1214837657
297	0.1211636146
298	0.1206118593
299	0.1201303565
300	0.1199492562
301	0.1193876191
302	0.1187739869
303	0.1186183263
304	0.1180945299
305	0.1178617284
306	0.1172936453
307	0.1168410957
308	0.1166019904
309	0.1161286599
310	0.1155886701
311	0.1152214859
312	0.1150611363
313	0.1144249909
314	0.1139923622
315	0.1135185576
316	0.1129534379
317	0.1124839157
318	0.1119826466
319	0.1116142666
320	0.1111578439
321	0.1108422405
322	0.1104972223
323	0.1100862412
324	0.109662754
325	0.1091646532
326	0.1089639541
327	0.1084626416
328	0.1079728935
329	0.107822092
330	0.1072294319
331	0.1065935166
332	0.1062251782
333	0.105868445
334	0.1053695863
335	0.105073898
336	0.1046324971
337	0.1042751661
338	0.103689383
339	0.1032798276
340	0.1028249683
341	0.1023846201
342	0.1020257958
343	0.1016593124
344	0.1012098164
345	0.1011250148
346	0.1007263996
347	0.1004501658
348	0.100034035
349	0.09965258505
350	0.09922851773
351	0.09889412476
352	0.09850693046
353	0.09811465922
354	0.0977781294
355	0.09741151378
356	0.09716160873
357	0.09673821209
358	0.09642742141
359	0.09599284735
360	0.09548340778
361	0.0950184081
362	0.09465993242
363	0.09419155202
364	0.09373386765
365	0.09342282938
366	0.09306213106
367	0.0926099763
368	0.09250822232
369	0.09235893387
370	0.09192609929
371	0.09167239643
372	0.09144265006
373	0.09104040351
